round 1 ,accuracy = 0.12409999221563339
round 2 ,accuracy = 0.43039995431900024
round 3 ,accuracy = 0.5760999321937561
round 4 ,accuracy = 0.7032001614570618
round 5 ,accuracy = 0.7946999073028564
round 6 ,accuracy = 0.7203999757766724
round 7 ,accuracy = 0.8075998425483704
round 8 ,accuracy = 0.9122998714447021
round 9 ,accuracy = 0.931300163269043
round 10 ,accuracy = 0.9345000982284546
round 11 ,accuracy = 0.9370999932289124
round 12 ,accuracy = 0.9279001355171204
round 13 ,accuracy = 0.948199987411499
round 14 ,accuracy = 0.9513999223709106
round 15 ,accuracy = 0.9490997195243835
round 16 ,accuracy = 0.945399820804596
round 17 ,accuracy = 0.9580999612808228
round 18 ,accuracy = 0.9616997838020325
round 19 ,accuracy = 0.9587999582290649
round 20 ,accuracy = 0.9618999361991882
round 21 ,accuracy = 0.9615997672080994
round 22 ,accuracy = 0.9643997550010681
round 23 ,accuracy = 0.9664002060890198
round 24 ,accuracy = 0.9705998301506042
round 25 ,accuracy = 0.9692999720573425
round 26 ,accuracy = 0.9695999622344971
round 27 ,accuracy = 0.9658997654914856
round 28 ,accuracy = 0.971299946308136
round 29 ,accuracy = 0.9726998805999756
round 30 ,accuracy = 0.973599910736084
round 31 ,accuracy = 0.9733000993728638
round 32 ,accuracy = 0.9721998572349548
round 33 ,accuracy = 0.9758996963500977
round 34 ,accuracy = 0.9728001356124878
round 35 ,accuracy = 0.9745001196861267
round 36 ,accuracy = 0.9763000011444092
round 37 ,accuracy = 0.9771002531051636
round 38 ,accuracy = 0.9798001050949097
round 39 ,accuracy = 0.9783000946044922
round 40 ,accuracy = 0.9774999618530273
round 41 ,accuracy = 0.9792000651359558
round 42 ,accuracy = 0.9796000719070435
round 43 ,accuracy = 0.9782001376152039
round 44 ,accuracy = 0.980199933052063
round 45 ,accuracy = 0.9795001149177551
round 46 ,accuracy = 0.9800000786781311
round 47 ,accuracy = 0.979100227355957
round 48 ,accuracy = 0.9798001050949097
round 49 ,accuracy = 0.9801000952720642
round 50 ,accuracy = 0.9809001088142395
round 51 ,accuracy = 0.9810000658035278
round 52 ,accuracy = 0.9803001880645752
round 53 ,accuracy = 0.9815001487731934
round 54 ,accuracy = 0.9822000861167908
round 55 ,accuracy = 0.9808000922203064
round 56 ,accuracy = 0.9798999428749084
round 57 ,accuracy = 0.9827001094818115
round 58 ,accuracy = 0.9811002016067505
round 59 ,accuracy = 0.980600118637085
round 60 ,accuracy = 0.9829002022743225
round 61 ,accuracy = 0.9818001985549927
round 62 ,accuracy = 0.980100154876709
round 63 ,accuracy = 0.9830001592636108
round 64 ,accuracy = 0.9826000928878784
round 65 ,accuracy = 0.9822000861167908
round 66 ,accuracy = 0.9825000762939453
round 67 ,accuracy = 0.9834002256393433
round 68 ,accuracy = 0.9821999669075012
round 69 ,accuracy = 0.9825001358985901
round 70 ,accuracy = 0.9823002219200134
round 71 ,accuracy = 0.9829002022743225
round 72 ,accuracy = 0.9825001358985901
round 73 ,accuracy = 0.9827999472618103
round 74 ,accuracy = 0.9827999472618103
round 75 ,accuracy = 0.9834998250007629
round 76 ,accuracy = 0.983799934387207
round 77 ,accuracy = 0.9828999638557434
round 78 ,accuracy = 0.9834999442100525
round 79 ,accuracy = 0.9845000505447388
round 80 ,accuracy = 0.9836999773979187
round 81 ,accuracy = 0.9838001728057861
round 82 ,accuracy = 0.9840001463890076
round 83 ,accuracy = 0.982100248336792
round 84 ,accuracy = 0.9830000996589661
round 85 ,accuracy = 0.9830000996589661
round 86 ,accuracy = 0.9843999147415161
round 87 ,accuracy = 0.984700083732605
round 88 ,accuracy = 0.9850000739097595
round 89 ,accuracy = 0.9829001426696777
round 90 ,accuracy = 0.9845001697540283
round 91 ,accuracy = 0.9852001070976257
round 92 ,accuracy = 0.9850999712944031
round 93 ,accuracy = 0.98499995470047
round 94 ,accuracy = 0.9843999743461609
round 95 ,accuracy = 0.9846000671386719
round 96 ,accuracy = 0.9848000407218933
round 97 ,accuracy = 0.9843001365661621
round 98 ,accuracy = 0.984099805355072
round 99 ,accuracy = 0.9848000407218933
round 100 ,accuracy = 0.984900176525116
round 101 ,accuracy = 0.984200119972229
round 102 ,accuracy = 0.98499995470047
