round 1 ,accuracy = 0.581000030040741
round 2 ,accuracy = 0.8869998455047607
round 3 ,accuracy = 0.9332000613212585
round 4 ,accuracy = 0.9487000107765198
round 5 ,accuracy = 0.9546999931335449
round 6 ,accuracy = 0.9595000147819519
round 7 ,accuracy = 0.9634999632835388
round 8 ,accuracy = 0.9645999670028687
round 9 ,accuracy = 0.9669999480247498
round 10 ,accuracy = 0.9700999855995178
round 11 ,accuracy = 0.9696000218391418
round 12 ,accuracy = 0.972300112247467
round 13 ,accuracy = 0.9736000895500183
round 14 ,accuracy = 0.9750998616218567
round 15 ,accuracy = 0.9747996926307678
round 16 ,accuracy = 0.9760998487472534
round 17 ,accuracy = 0.976799726486206
round 18 ,accuracy = 0.9766998291015625
round 19 ,accuracy = 0.9775000810623169
round 20 ,accuracy = 0.9786999225616455
round 21 ,accuracy = 0.9800999164581299
round 22 ,accuracy = 0.9790998697280884
