round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.0555,2.303856201171875,0.0,0.0,0.0,0.0,0.0
1.0,0.1028,2.3034353027343752,0.1135,0.1135,0.9301,0.101,0.0058
2.0,0.3966,2.1625869140625,0.101,0.0118,0.1028,0.9298,0.9396
3.0,0.77,1.0788455810546875,0.9234,0.9201,0.9438,0.9315,0.0132
4.0,0.9328,0.284125732421875,0.9379,0.935,0.9464,0.9328,0.011
5.0,0.9134,0.28831146240234373,0.0043,0.9316,0.9491,0.9383,0.9373
6.0,0.9015,0.3839088134765625,0.9505,0.0086,0.9453,0.9415,0.9423
7.0,0.969,0.10802874755859376,0.9514,0.9563,0.9545,0.9511,0.9535
8.0,0.9429,0.21528968811035154,0.9548,0.9469,0.0088,0.9615,0.9488
9.0,0.9689,0.11408028411865236,0.9567,0.9549,0.9543,0.9561,0.9357
10.0,0.9188,0.31185089111328124,0.0057,0.9489,0.9512,0.9575,0.9556
11.0,0.9401,0.24381117248535156,0.9564,0.9558,0.951,0.0086,0.9443
12.0,0.9119,0.3027732238769531,0.9229,0.9481,0.0129,0.9528,0.9412
13.0,0.8845,0.37186968994140623,0.9607,0.9516,0.9566,0.9575,0.0098
14.0,0.873,0.43588296508789065,0.9531,0.9555,0.0072,0.9421,0.9574
15.0,0.9727,0.11097262573242188,0.9568,0.9543,0.9448,0.9566,0.954
16.0,0.9347,0.2548459167480469,0.9586,0.935,0.0134,0.9602,0.9496
17.0,0.9285,0.2657761535644531,0.9579,0.953,0.0085,0.9509,0.9582
18.0,0.9521,0.19611444091796876,0.9579,0.9518,0.9623,0.9569,0.0098
19.0,0.6878,0.84256591796875,0.0121,0.9532,0.9589,0.9619,0.0036
20.0,0.9489,0.19790184020996093,0.0108,0.9551,0.9507,0.9656,0.924
21.0,0.9768,0.09925081634521485,0.9513,0.9632,0.9559,0.959,0.9519
22.0,0.9205,0.27434539794921875,0.9578,0.9589,0.9501,0.0165,0.9526
23.0,0.9753,0.10571605682373046,0.9517,0.9577,0.953,0.9641,0.9621
24.0,0.9347,0.30565478515625,0.9446,0.9563,0.9459,0.9633,0.0072
25.0,0.8486,0.58514306640625,0.01,0.9553,0.9565,0.0063,0.9504
26.0,0.9642,0.14104627990722657,0.9523,0.9467,0.9492,0.0044,0.9512
27.0,0.9549,0.1672864990234375,0.0054,0.9554,0.9477,0.9595,0.961
28.0,0.9403,0.25190118408203127,0.9596,0.9437,0.9592,0.0103,0.9408
29.0,0.9542,0.19368983459472658,0.9596,0.0085,0.9533,0.9512,0.9566
30.0,0.9708,0.11881927490234374,0.9627,0.9622,0.9597,0.9507,0.9576
31.0,0.9217,0.29159381103515625,0.0081,0.9506,0.9651,0.9614,0.9599
32.0,0.9172,0.28990863037109377,0.0109,0.959,0.9458,0.9645,0.9604
33.0,0.6443,1.0104312744140627,0.9559,0.9499,0.008,0.9622,0.0113
34.0,0.9706,0.11598540496826171,0.9551,0.9631,0.9449,0.9481,0.9482
35.0,0.8819,0.49380596923828124,0.9548,0.954,0.9532,0.9575,0.1028
36.0,0.7717,0.7435483398437499,0.0139,0.9533,0.9568,0.9563,0.0155
37.0,0.9606,0.16455215454101563,0.9571,0.0045,0.955,0.9552,0.9541
38.0,0.9439,0.22802317810058592,0.9659,0.9554,0.9599,0.9642,0.0123
39.0,0.9326,0.2784479370117187,0.9503,0.9574,0.9557,0.0081,0.9441
40.0,0.9318,0.2518260955810547,0.9456,0.9531,0.9608,0.9605,0.0103
41.0,0.9693,0.1268197479248047,0.9522,0.9581,0.9533,0.9512,0.9591
42.0,0.972,0.12432526397705078,0.9444,0.9544,0.9536,0.957,0.963
43.0,0.9742,0.11382024383544923,0.962,0.9605,0.9479,0.9593,0.9601
44.0,0.9743,0.11103121948242187,0.9617,0.961,0.9573,0.9493,0.9645
45.0,0.8938,0.37742626953124997,0.9574,0.967,0.9564,0.9618,0.0131
46.0,0.937,0.27048239135742186,0.9605,0.0251,0.9347,0.9495,0.9585
47.0,0.9193,0.30334738159179686,0.0095,0.9515,0.9679,0.9593,0.9576
48.0,0.9297,0.2586771545410156,0.9533,0.9627,0.9642,0.9567,0.0117
49.0,0.9204,0.30303182983398436,0.964,0.961,0.9594,0.9569,0.0097
50.0,0.6947,0.978948974609375,0.9448,0.9636,0.0122,0.963,0.0078
51.0,0.9531,0.17119627380371094,0.9586,0.005,0.9489,0.9552,0.953
52.0,0.8671,0.523378173828125,0.9626,0.9516,0.0122,0.0048,0.9637
53.0,0.9725,0.12674578094482422,0.9615,0.9545,0.9589,0.9511,0.9679
54.0,0.9445,0.20966670227050782,0.0108,0.9692,0.9639,0.9602,0.9526
55.0,0.8052,0.5754818725585937,0.0049,0.9606,0.9496,0.953,0.0115
56.0,0.9548,0.1617997741699219,0.9629,0.9567,0.0106,0.9662,0.9557
57.0,0.8124,0.5469798583984374,0.9614,0.0109,0.9571,0.004,0.9617
58.0,0.8952,0.3723809509277344,0.014,0.964,0.0089,0.9536,0.9645
59.0,0.809,0.5338737182617188,0.0053,0.9581,0.0113,0.9574,0.9625
