round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.116,2.3020107421875,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.30633837890625,0.9238,0.1135,0.1135,0.101,0.0085
2.0,0.922,0.7414863891601563,0.0892,0.0039,0.9328,0.9291,0.9362
3.0,0.8933,0.5268767700195313,0.9478,0.9297,0.9445,0.941,0.0108
4.0,0.9435,0.261089111328125,0.9418,0.9339,0.9397,0.9416,0.0076
5.0,0.9404,0.2244762420654297,0.0062,0.918,0.9386,0.9481,0.9489
6.0,0.9366,0.22786764526367187,0.9307,0.0061,0.9452,0.937,0.9386
7.0,0.9618,0.12419397735595702,0.9474,0.9443,0.9361,0.9422,0.9396
8.0,0.955,0.15799082946777343,0.9498,0.9374,0.0178,0.9518,0.9545
9.0,0.9664,0.1124020767211914,0.9497,0.9454,0.948,0.9503,0.9473
10.0,0.958,0.14515025329589845,0.0133,0.9475,0.9529,0.9427,0.946
11.0,0.963,0.12751682281494142,0.9342,0.9395,0.9458,0.006,0.9534
12.0,0.96,0.14075370788574218,0.9416,0.945,0.101,0.9477,0.9394
13.0,0.9601,0.14203086853027344,0.9499,0.9491,0.9502,0.9334,0.0333
14.0,0.9526,0.1682015838623047,0.9495,0.9413,0.0415,0.9487,0.938
15.0,0.9708,0.1094906234741211,0.9495,0.9467,0.9546,0.9415,0.956
16.0,0.9506,0.1680121307373047,0.9455,0.9447,0.0174,0.9435,0.95
17.0,0.95,0.16544313049316406,0.9551,0.9421,0.0359,0.9367,0.9397
18.0,0.9616,0.13084112548828125,0.9554,0.944,0.9514,0.942,0.0134
19.0,0.7074,0.9489259643554687,0.0158,0.9487,0.9524,0.9415,0.0381
20.0,0.9612,0.13691995239257812,0.0114,0.9461,0.9473,0.9502,0.9498
21.0,0.9658,0.13606881713867186,0.9499,0.9533,0.9476,0.9442,0.9516
22.0,0.9622,0.13534013366699219,0.9585,0.9294,0.947,0.012,0.9423
23.0,0.9653,0.12808738708496092,0.9497,0.9504,0.9429,0.9474,0.9497
24.0,0.9484,0.1799739990234375,0.9417,0.9416,0.9531,0.9399,0.0584
25.0,0.8606,0.6122570190429687,0.011,0.9549,0.9487,0.0599,0.9437
26.0,0.9591,0.1437121124267578,0.9446,0.9551,0.954,0.0468,0.944
27.0,0.959,0.14481817626953125,0.0556,0.9508,0.9519,0.948,0.929
28.0,0.9567,0.15180593872070314,0.9494,0.9504,0.9508,0.0561,0.9455
29.0,0.9565,0.1522260284423828,0.9477,0.014,0.952,0.9318,0.9529
30.0,0.9662,0.13853747558593751,0.9532,0.9426,0.9483,0.9569,0.9455
31.0,0.9597,0.13977377319335937,0.1052,0.9525,0.9513,0.9275,0.9542
32.0,0.9607,0.14052044677734377,0.1041,0.953,0.954,0.9515,0.9532
33.0,0.5594,1.3282894287109377,0.9456,0.958,0.1028,0.9462,0.098
34.0,0.9685,0.1292362060546875,0.953,0.9519,0.9443,0.9543,0.9542
35.0,0.9557,0.1604747772216797,0.949,0.9529,0.946,0.9386,0.101
36.0,0.514,1.4710582275390625,0.101,0.955,0.9595,0.9473,0.101
37.0,0.9623,0.158551025390625,0.9597,0.0066,0.9307,0.9476,0.9548
38.0,0.9552,0.15365530395507812,0.9456,0.9522,0.95,0.9534,0.0982
39.0,0.961,0.14450222778320312,0.9379,0.9501,0.9572,0.0752,0.9467
40.0,0.9557,0.15853677368164062,0.9526,0.9574,0.9569,0.954,0.101
41.0,0.9674,0.131257080078125,0.9504,0.9548,0.9499,0.9522,0.9518
42.0,0.9674,0.13985731506347657,0.957,0.9449,0.9339,0.9499,0.9586
43.0,0.9685,0.13855854797363282,0.9528,0.9411,0.9623,0.9571,0.9499
44.0,0.9645,0.15766709899902343,0.9545,0.96,0.9465,0.9474,0.9505
45.0,0.9552,0.15531532287597657,0.9558,0.9467,0.9526,0.9528,0.1028
46.0,0.9585,0.1557464599609375,0.9474,0.101,0.9493,0.943,0.9408
47.0,0.9597,0.14192506408691405,0.1029,0.9592,0.9481,0.9537,0.9548
48.0,0.9549,0.16462181091308595,0.9388,0.9556,0.9466,0.9575,0.0982
49.0,0.9564,0.1610680236816406,0.9511,0.9574,0.9588,0.9502,0.1028
50.0,0.3894,1.7878079833984375,0.9436,0.9565,0.1135,0.9527,0.1009
51.0,0.9654,0.157769287109375,0.9508,0.0156,0.9539,0.9544,0.9456
52.0,0.4516,1.6701939697265624,0.9557,0.9485,0.101,0.1028,0.9612
53.0,0.9699,0.15496769714355468,0.9546,0.9583,0.9608,0.9534,0.952
54.0,0.9603,0.1569013214111328,0.0892,0.9593,0.9534,0.8931,0.9404
55.0,0.5491,1.3754249267578125,0.1028,0.9494,0.9587,0.9556,0.1135
56.0,0.9587,0.16516549682617188,0.9369,0.955,0.1028,0.9473,0.9508
57.0,0.3763,1.7547530517578125,0.955,0.1135,0.9405,0.0982,0.9457
58.0,0.9395,0.23310455322265625,0.0107,0.9543,0.009,0.9537,0.9525
59.0,0.942,0.2117071990966797,0.008,0.9349,0.0102,0.9542,0.957
