round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1013,2.3053330078125,0.0,0.0,0.0,0.0,0.0
1.0,0.0975,2.2728037109374997,0.9006,0.9098,0.9038,0.9145,0.9015
2.0,0.6104,1.2127734375,0.8988,0.8925,0.9083,0.895,0.9003
3.0,0.8804,0.4117166442871094,0.9178,0.9019,0.9097,0.9096,0.9024
4.0,0.9226,0.2804136352539063,0.9338,0.9128,0.9109,0.9235,0.9223
5.0,0.9353,0.24459217834472657,0.919,0.9245,0.9158,0.9234,0.9197
6.0,0.94,0.23313804626464843,0.9175,0.9269,0.9253,0.9189,0.9171
7.0,0.9422,0.23262918090820314,0.9155,0.9073,0.9213,0.9257,0.9269
8.0,0.9451,0.22292994689941406,0.9216,0.929,0.9104,0.9081,0.9349
9.0,0.9455,0.21713471984863283,0.9249,0.9341,0.9303,0.9273,0.9371
10.0,0.9481,0.2076416931152344,0.9221,0.9305,0.9163,0.9338,0.9379
11.0,0.951,0.211052978515625,0.9336,0.9324,0.9397,0.9325,0.93
12.0,0.9508,0.2123760528564453,0.9441,0.9404,0.921,0.9356,0.9418
13.0,0.9533,0.20438136291503906,0.9458,0.9455,0.9261,0.9375,0.943
14.0,0.952,0.20272833251953126,0.9386,0.9428,0.9433,0.9434,0.9297
15.0,0.9523,0.20707992553710936,0.9418,0.9469,0.9385,0.9205,0.9433
16.0,0.9557,0.19166046142578125,0.9338,0.9434,0.9445,0.9336,0.9426
17.0,0.953,0.22797190856933597,0.9419,0.944,0.9355,0.9431,0.941
18.0,0.9578,0.22331571960449217,0.9497,0.9391,0.9425,0.9487,0.9425
19.0,0.956,0.2193083801269531,0.9337,0.9362,0.9493,0.9462,0.9493
