round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1108,2.301855224609375,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.30463623046875,0.9071,0.1135,0.1028,0.1009,0.1135
2.0,0.1691,2.1238959960937502,0.9251,0.1009,0.9338,0.1135,0.101
3.0,0.8611,0.47461911010742186,0.9545,0.9327,0.931,0.9337,0.9237
4.0,0.9351,0.2075400848388672,0.9387,0.9392,0.9485,0.949,0.9195
5.0,0.9658,0.1294499969482422,0.9059,0.9514,0.9485,0.938,0.9404
6.0,0.9626,0.14154998779296876,0.9518,0.9558,0.9537,0.9093,0.9531
7.0,0.968,0.13121522521972656,0.9478,0.9546,0.9472,0.9544,0.9509
8.0,0.9658,0.12966122436523436,0.945,0.9448,0.9395,0.946,0.9474
9.0,0.9697,0.12835060119628905,0.9548,0.958,0.9553,0.9495,0.9416
10.0,0.9664,0.1300413360595703,0.9539,0.9577,0.9526,0.9517,0.9514
11.0,0.9703,0.12647147369384765,0.9529,0.9405,0.9582,0.9587,0.9548
12.0,0.9716,0.13188720703125,0.9508,0.9553,0.9524,0.9556,0.9595
13.0,0.9713,0.1378604736328125,0.9395,0.9562,0.9593,0.9427,0.9628
14.0,0.9706,0.13339884948730468,0.9604,0.9559,0.9559,0.9391,0.9556
15.0,0.9721,0.13027333068847657,0.9561,0.9607,0.9457,0.9416,0.9555
16.0,0.9724,0.12563451385498048,0.9595,0.958,0.9592,0.9559,0.9571
17.0,0.97,0.13656282043457033,0.9579,0.9595,0.9567,0.9592,0.9539
18.0,0.9703,0.13975277709960937,0.948,0.9567,0.9553,0.9555,0.9534
19.0,0.9722,0.1434231414794922,0.9573,0.9605,0.953,0.9561,0.9487
