round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3
0.0,0.1121,2.30342041015625,0.0,0.0,0.0,0.0
1.0,0.1107,2.27058154296875,0.9122,0.1907,0.9087,0.1894
2.0,0.6252,1.077435791015625,0.1899,0.9275,0.8945,0.9198
3.0,0.5179,1.2672274169921873,0.9175,0.1918,0.1962,0.9227
4.0,0.8896,0.369380859375,0.9239,0.9261,0.918,0.9063
5.0,0.6128,1.1857042236328126,0.9081,0.9075,0.1968,0.1942
6.0,0.4703,1.3030257568359374,0.1911,0.1924,0.9223,0.9088
7.0,0.9452,0.23244569396972656,0.9347,0.9217,0.9329,0.9196
8.0,0.6724,1.4232567138671874,0.9428,0.1928,0.1943,0.9252
9.0,0.945,0.24691470336914062,0.9272,0.9317,0.9294,0.1936
10.0,0.4702,2.8729833984374995,0.9336,0.2005,0.1894,0.9293
11.0,0.9517,0.2090780334472656,0.9349,0.9379,0.9287,0.9438
12.0,0.9389,0.30815557861328124,0.9408,0.9438,0.1992,0.9222
13.0,0.9532,0.22941587829589843,0.9336,0.1926,0.9448,0.9376
14.0,0.9542,0.21060003662109375,0.9486,0.9427,0.9499,0.1926
15.0,0.9529,0.23949111938476564,0.9367,0.9425,0.9436,0.1908
16.0,0.6547,2.02767041015625,0.9456,0.1938,0.1957,0.9397
17.0,0.9567,0.23184416198730468,0.9428,0.9501,0.9352,0.9426
18.0,0.5992,2.18623046875,0.9398,0.9397,0.1933,0.1931
19.0,0.4808,1.646306396484375,0.1944,0.9472,0.9502,0.1946
