round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.0555,2.303856201171875,0.0,0.0,0.0,0.0,0.0
1.0,0.1028,2.3034353027343752,0.1135,0.1135,0.9301,0.101,0.0058
2.0,0.3966,2.1625869140625,0.101,0.0118,0.1028,0.9298,0.9396
3.0,0.77,1.0788455810546875,0.9234,0.9201,0.9438,0.9315,0.0132
4.0,0.9328,0.284125732421875,0.9379,0.935,0.9464,0.9328,0.011
5.0,0.9134,0.28831146240234373,0.0043,0.9316,0.9491,0.9383,0.9373
6.0,0.9015,0.3839088134765625,0.9505,0.0086,0.9453,0.9415,0.9423
7.0,0.969,0.10802874755859376,0.9514,0.9563,0.9545,0.9511,0.9535
8.0,0.9429,0.21528968811035154,0.9548,0.9469,0.0088,0.9615,0.9488
9.0,0.9689,0.11408028411865236,0.9567,0.9549,0.9543,0.9561,0.9357
10.0,0.9188,0.31185089111328124,0.0057,0.9489,0.9512,0.9575,0.9556
11.0,0.9401,0.24381117248535156,0.9564,0.9558,0.951,0.0086,0.9443
12.0,0.9119,0.3027732238769531,0.9229,0.9481,0.0129,0.9528,0.9412
13.0,0.8845,0.37186968994140623,0.9607,0.9516,0.9566,0.9575,0.0098
14.0,0.873,0.43588296508789065,0.9531,0.9555,0.0072,0.9421,0.9574
15.0,0.9727,0.11097262573242188,0.9568,0.9543,0.9448,0.9566,0.954
16.0,0.9347,0.2548459167480469,0.9586,0.935,0.0134,0.9602,0.9496
17.0,0.9285,0.2657761535644531,0.9579,0.953,0.0085,0.9509,0.9582
18.0,0.9521,0.19611444091796876,0.9579,0.9518,0.9623,0.9569,0.0098
19.0,0.6878,0.84256591796875,0.0121,0.9532,0.9589,0.9619,0.0036
