round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1145,2.30168603515625,0.0,0.0,0.0,0.0,0.0
1.0,0.0982,2.2844470214843753,0.8918,0.1958,0.9046,0.1952,0.9041
2.0,0.4653,1.5244384765624999,0.1926,0.9045,0.9143,0.8965,0.8734
3.0,0.2787,2.94115771484375,0.9236,0.1944,0.9086,0.911,0.1893
4.0,0.8498,0.4760213623046875,0.9178,0.9126,0.9151,0.9075,0.9075
5.0,0.8585,0.5510811157226563,0.9165,0.9176,0.9221,0.1894,0.9147
6.0,0.8524,0.5398320922851563,0.9214,0.1918,0.9223,0.9133,0.927
7.0,0.9352,0.26034185791015624,0.9332,0.913,0.9296,0.9236,0.92
8.0,0.8211,0.596208251953125,0.9328,0.1839,0.1938,0.9239,0.9231
9.0,0.9446,0.23879745483398437,0.9367,0.9339,0.9374,0.9198,0.927
10.0,0.937,0.3274586791992187,0.9376,0.1947,0.9332,0.9317,0.929
11.0,0.9375,0.29932833862304686,0.933,0.9262,0.9352,0.9346,0.1923
12.0,0.8529,0.5368724365234375,0.9338,0.9402,0.198,0.9355,0.9371
13.0,0.9448,0.24816854858398438,0.9375,0.1954,0.9374,0.9222,0.9416
14.0,0.9479,0.23943925476074218,0.9392,0.9364,0.9227,0.9394,0.9394
15.0,0.9437,0.24953900146484376,0.9317,0.9307,0.9397,0.1956,0.9397
16.0,0.3809,1.8381503906249999,0.9379,0.1958,0.1971,0.9353,0.9431
17.0,0.9501,0.23212147521972654,0.926,0.9385,0.9409,0.9313,0.9433
18.0,0.8968,0.5267742919921875,0.942,0.9376,0.9401,0.193,0.1977
19.0,0.8906,0.3725283508300781,0.1955,0.9439,0.9304,0.1959,0.9395
