round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3
0.0,0.1919,2.301806396484375,0.0,0.0,0.0,0.0
1.0,0.2627,2.15240625,0.8808,0.923,0.9249,0.9073
2.0,0.7628,0.7009714965820313,0.9179,0.8857,0.911,0.8747
3.0,0.8831,0.4710594177246094,0.9112,0.9153,0.928,0.9321
4.0,0.9286,0.26691723632812503,0.9221,0.9224,0.9189,0.9129
5.0,0.9241,0.3108839111328125,0.9227,0.9357,0.937,0.9244
6.0,0.9382,0.23435583496093748,0.931,0.9361,0.9254,0.9383
7.0,0.9528,0.22143138122558595,0.9388,0.9344,0.9265,0.9386
8.0,0.9515,0.22639891052246094,0.9458,0.9213,0.9404,0.9336
9.0,0.9549,0.21314436340332032,0.9469,0.9394,0.9476,0.9223
10.0,0.9574,0.20209197998046877,0.9441,0.9345,0.9451,0.9437
11.0,0.9581,0.21931370544433593,0.946,0.9512,0.948,0.9476
12.0,0.9579,0.2317649383544922,0.9467,0.9409,0.9435,0.9327
13.0,0.96,0.23772845458984376,0.9509,0.9464,0.9433,0.9393
14.0,0.9591,0.20112687683105468,0.9455,0.9367,0.9446,0.9389
15.0,0.96,0.20768327331542968,0.9466,0.9504,0.9526,0.9424
16.0,0.9555,0.2639097900390625,0.9455,0.9332,0.9384,0.9463
17.0,0.9598,0.24264234924316408,0.9354,0.9541,0.9495,0.9502
18.0,0.957,0.2440568389892578,0.9469,0.9267,0.9142,0.955
19.0,0.9601,0.23137100219726564,0.9397,0.9379,0.9528,0.9561
