round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4,local_acc5,local_acc6,local_acc7,local_acc8,local_acc9
0.0,0.0675,2.303264404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2431,2.23426513671875,0.8412,0.8192,0.8225,0.8519,0.8124,0.8533,0.8247,0.8328,0.8322,0.0722
2.0,0.8233,0.6248416137695313,0.0947,0.8231,0.8333,0.8294,0.8447,0.8123,0.8474,0.7521,0.8489,0.8419
3.0,0.6506,1.0188759765625,0.8366,0.8554,0.8215,0.8681,0.8563,0.1004,0.1065,0.8576,0.821,0.0819
4.0,0.8799,0.46357638549804686,0.1023,0.8684,0.8764,0.8485,0.877,0.8756,0.8453,0.8494,0.883,0.0885
5.0,0.1272,3.1338869628906254,0.8953,0.8679,0.8601,0.88,0.0967,0.858,0.0988,0.8788,0.1027,0.1049
6.0,0.906,0.36025753784179687,0.8598,0.1103,0.8918,0.8615,0.8801,0.8881,0.8842,0.8864,0.8841,0.8751
7.0,0.8923,0.4020214538574219,0.8871,0.8968,0.8759,0.1025,0.8913,0.8977,0.8606,0.8958,0.8146,0.8499
8.0,0.1303,2.813811279296875,0.9031,0.9027,0.0972,0.0974,0.1014,0.1038,0.1053,0.8613,0.8998,0.8566
9.0,0.8826,0.44049444580078123,0.9011,0.8828,0.1076,0.8798,0.1036,0.9002,0.8977,0.8918,0.889,0.1002
10.0,0.9166,0.3172752685546875,0.0991,0.8937,0.894,0.8916,0.8949,0.8605,0.8968,0.907,0.8984,0.8776
11.0,0.925,0.29659844970703125,0.8845,0.895,0.8777,0.096,0.9073,0.8945,0.9024,0.9035,0.9102,0.9173
12.0,0.6205,0.86403857421875,0.9187,0.9002,0.1047,0.8899,0.1038,0.9037,0.9048,0.8935,0.101,0.9072
13.0,0.9312,0.26820501708984373,0.8948,0.8968,0.8827,0.9012,0.0997,0.8902,0.8856,0.8944,0.9033,0.9164
14.0,0.9182,0.3364286499023438,0.9219,0.1024,0.1037,0.8842,0.9192,0.8999,0.8894,0.8866,0.8864,0.1011
15.0,0.9315,0.31515682983398435,0.8874,0.8987,0.9101,0.9101,0.923,0.8928,0.9135,0.883,0.1021,0.8886
16.0,0.9289,0.2914739990234375,0.9179,0.9203,0.1072,0.9005,0.1114,0.9188,0.9197,0.9044,0.9174,0.9227
17.0,0.9245,0.3082076416015625,0.1003,0.9133,0.1077,0.9199,0.9156,0.9078,0.9037,0.1022,0.8685,0.897
18.0,0.5704,1.1594544677734375,0.9019,0.9179,0.1021,0.1167,0.9238,0.1017,0.8982,0.9186,0.0902,0.9002
19.0,0.8153,0.45476806640625,0.9218,0.9185,0.097,0.0983,0.889,0.1042,0.9025,0.9277,0.9144,0.8982
