round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4,local_acc5,local_acc6,local_acc7,local_acc8,local_acc9
0.0,0.0942,2.3073076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2206,2.20448046875,0.8248,0.0328,0.8684,0.8427,0.8233,0.807,0.8024,0.8158,0.751,0.83
2.0,0.8471,0.8116066284179688,0.8183,0.0136,0.8503,0.8558,0.8074,0.2334,0.8329,0.7098,0.1057,0.8742
3.0,0.8893,0.3934834594726563,0.8601,0.8628,0.0098,0.8487,0.8551,0.8161,0.8688,0.3016,0.8453,0.8568
4.0,0.899,0.37287551879882813,0.8842,0.1287,0.8844,0.0224,0.8705,0.8831,0.4053,0.1887,0.8932,0.8675
5.0,0.9003,0.3867584533691406,0.8476,0.8747,0.0122,0.8973,0.8908,0.1778,0.8791,0.8653,0.8869,0.0123
6.0,0.9198,0.2981632385253906,0.1053,0.0124,0.8982,0.856,0.8802,0.8877,0.8856,0.9002,0.9052,0.896
7.0,0.67,1.0074640502929688,0.8649,0.9108,0.0217,0.8821,0.0079,0.2996,0.8746,0.0168,0.8768,0.2772
8.0,0.9308,0.2875465393066406,0.8642,0.8847,0.8737,0.9005,0.8809,0.9019,0.9161,0.8871,0.871,0.8755
9.0,0.9169,0.33033227539062504,0.4761,0.8782,0.9028,0.9055,0.9049,0.9154,0.1083,0.8874,0.9045,0.8941
10.0,0.653,1.094201904296875,0.9106,0.0901,0.9149,0.9142,0.1105,0.9085,0.1865,0.0261,0.8806,0.0085
11.0,0.9244,0.27436001586914066,0.9011,0.0114,0.8993,0.8838,0.0144,0.9014,0.9008,0.9082,0.304,0.9122
12.0,0.9204,0.29765164184570314,0.9145,0.0122,0.9091,0.8989,0.8946,0.9186,0.8997,0.9071,0.0155,0.1864
13.0,0.9345,0.26322607421875,0.8569,0.8814,0.8797,0.9155,0.895,0.9049,0.8989,0.8854,0.0122,0.9206
14.0,0.9191,0.31616326904296876,0.9134,0.8921,0.908,0.9176,0.1962,0.9111,0.0101,0.9051,0.9127,0.9262
15.0,0.9203,0.2757190551757812,0.8781,0.9144,0.9153,0.9222,0.4791,0.9176,0.896,0.9068,0.0244,0.8964
16.0,0.5539,1.179189208984375,0.4727,0.207,0.0175,0.9123,0.9302,0.1055,0.0858,0.9215,0.9116,0.03
17.0,0.9352,0.2833838806152344,0.11,0.9178,0.8979,0.9185,0.9125,0.8881,0.9122,0.8948,0.9189,0.9151
18.0,0.935,0.2574007873535156,0.9085,0.9191,0.9204,0.9278,0.917,0.015,0.1157,0.9146,0.9077,0.9073
19.0,0.9325,0.2758079528808594,0.024,0.9151,0.9335,0.9279,0.0966,0.89,0.9323,0.925,0.9108,0.0247
