round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1132,2.303958984375,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.304214599609375,0.8875,0.101,0.8798,0.0061,0.1028
2.0,0.101,2.3052861328125,0.0175,0.1009,0.101,0.1028,0.1135
3.0,0.7188,1.1812484130859375,0.9329,0.928,0.9443,0.9325,0.0096
4.0,0.4804,1.643092529296875,0.9346,0.9332,0.9427,0.9378,0.0163
5.0,0.8776,0.4624947204589844,0.0063,0.9506,0.9187,0.9452,0.9458
6.0,0.9308,0.2774057922363281,0.9574,0.0106,0.9292,0.9469,0.9512
7.0,0.9639,0.11785651397705078,0.9577,0.9498,0.9497,0.9498,0.9416
8.0,0.8739,0.47840774536132813,0.9495,0.9565,0.0128,0.9381,0.9569
9.0,0.9694,0.10846429443359375,0.9536,0.9517,0.9416,0.9565,0.9482
10.0,0.9171,0.32552026367187503,0.0073,0.9511,0.951,0.9566,0.9377
11.0,0.9412,0.20852162170410155,0.9532,0.9393,0.9599,0.0099,0.964
12.0,0.9186,0.31935137939453123,0.957,0.9526,0.0134,0.9586,0.9559
13.0,0.9125,0.31697656249999995,0.9468,0.9425,0.9562,0.9566,0.0072
14.0,0.9229,0.2557409210205078,0.9554,0.9603,0.011,0.9509,0.9482
15.0,0.9711,0.11037236022949219,0.9483,0.9591,0.954,0.9504,0.9535
16.0,0.825,0.6280398559570312,0.9587,0.9519,0.101,0.951,0.9482
17.0,0.9511,0.1781726837158203,0.9526,0.9494,0.1028,0.9277,0.9574
18.0,0.8407,0.567767822265625,0.9528,0.958,0.9507,0.9381,0.0982
19.0,0.2228,2.077772216796875,0.1033,0.9558,0.9468,0.9468,0.1028
20.0,0.9558,0.15813148498535157,0.0116,0.9497,0.9617,0.9446,0.9514
