round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.0973,2.29867578125,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.381884521484375,0.9081,0.9159,0.0958,0.0048,0.0068
2.0,0.8022,1.12234716796875,0.0059,0.009,0.9391,0.9237,0.9365
3.0,0.9372,0.22745567321777344,0.9334,0.9278,0.9345,0.948,0.0205
4.0,0.8565,0.579427001953125,0.926,0.923,0.936,0.9151,0.0057
5.0,0.9474,0.1790360565185547,0.007,0.9383,0.9418,0.9465,0.9241
6.0,0.9417,0.23815536499023438,0.9345,0.0094,0.9187,0.9441,0.9205
7.0,0.9502,0.16920593261718747,0.9328,0.9339,0.9197,0.9348,0.894
8.0,0.9497,0.1710560607910156,0.9239,0.9378,0.0069,0.9489,0.9494
9.0,0.9642,0.12833592224121093,0.9297,0.935,0.9442,0.9489,0.938
10.0,0.9514,0.17436274719238282,0.0142,0.9545,0.9243,0.9452,0.9532
11.0,0.9453,0.2017050018310547,0.9388,0.9502,0.9549,0.0097,0.9282
12.0,0.948,0.18968658447265627,0.9531,0.9485,0.0133,0.9416,0.9393
13.0,0.9514,0.17321191406249997,0.9507,0.9422,0.9333,0.9542,0.0236
14.0,0.9459,0.20780458068847654,0.9424,0.959,0.0305,0.9505,0.9516
15.0,0.9678,0.13809288024902344,0.9538,0.9501,0.9494,0.9482,0.9533
16.0,0.945,0.21203025817871093,0.951,0.9516,0.0217,0.9313,0.9228
17.0,0.9591,0.1672155456542969,0.9533,0.9481,0.0162,0.957,0.9554
18.0,0.9574,0.154451904296875,0.9527,0.9392,0.9481,0.94,0.0205
